NAME,YEAR,THEME,Number of unique parts,Number of parts,UNIQUENESS
Spider-Man: Doc Ock's Tentacle Trap,2016,Spider-Man,5,127,0.039370
Dragon Bolt,2013,Villains,2,51,0.039216
Cyclone Defender,2007,Exo-Force,2,51,0.039216
Piggy Car Escape,2016,Angry Birds,2,51,0.039216
The Village,2016,Minecraft,5,128,0.039063
Hurricane Heist,2014,Ultra Agents,6,154,0.038961
Cross Bone Clipper,1997,Pirates I,3,77,0.038961
Professor Lupin's Classroom,2004,Prisoner of Azkaban,3,77,0.038961
Superman vs Power Armour Lex,2012,Superman,3,77,0.038961
Expedition Balloon,1999,Jungle,3,77,0.038961
Kryptarium Prison Breakout,2016,Ninjago,4,103,0.038835
Haunted Lighthouse,2015,Scooby-Doo,6,155,0.038710
The Joker Steam Roller,2014,Batman,6,155,0.038710
Resistance Troop Transporter,2016,Star Wars Episode 7,6,155,0.038710
Beacon Tracer,1990,M:Tron,1,26,0.038462
Shelob Attacks,2012,The Return of the King,3,78,0.038462
Lunar Rover,1999,Space Port,1,26,0.038462
Swiss Villa,1973,Building,1,26,0.038462
Small Bucket,1993,Basic,1,26,0.038462
Turtle Van Takedown,2014,Teenage Mutant Ninja Turtles,5,130,0.038462
Brick Vac,1991,Basic,1,26,0.038462
Toa Mahri Matoro,2007,Toa Mahri,1,26,0.038462
Ragana’s Magic Shadow Castle,2016,Elves,9,234,0.038462
Mini Rocket Launcher,1999,Space Port,1,26,0.038462
Cloud City,2003,Star Wars Episode 4/5/6,6,156,0.038462
Terak Creature of Earth,2016,Bionicle,1,26,0.038462
Beta Buzzer,1998,Insectoids,1,26,0.038462
Red Creative Box,2017,Classic,1,26,0.038462
Emma's Photo Studio,2017,Friends,2,52,0.038462
Assault on Hoth,2016,Star Wars Episode 4/5/6,13,338,0.038462
Factory With Conveyor Belt,1971,Construction,1,26,0.038462
Toa Lewa,2008,Phantoka,1,26,0.038462
Visorak Suukorak,2005,Visorak,1,26,0.038462
Forest: Animals,2015,Duplo,1,26,0.038462
Kraang Lab Escape,2013,Teenage Mutant Ninja Turtles,2,52,0.038462
Diagon Alley Shops,2001,Sorcerer's Stone,2,52,0.038462
"Scarecrow"" Fearful Face-off",2017,Batman,3,78,0.038462
Aragog in the Dark Forest,2002,Chamber of Secrets,3,78,0.038462
Tapsy,2016,Series 7,1,26,0.038462
Mother with Baby Carriage,1978,Building Set with People,1,26,0.038462
Bakery,1982,Fabuland,1,26,0.038462
The Batmobile: Two-Face's Escape,2006,Batman,5,130,0.038462
The Werewolf,2012,Monster Fighters,3,78,0.038462
Beach Fun,1998,Recreation,1,26,0.038462
Visorak Oohnorak,2005,Visorak,1,26,0.038462
The Bikini Bottom Express,2008,SpongeBob SquarePants,3,79,0.037975
Bird Island Egg Heist,2016,Angry Birds,4,106,0.037736
Creative Ambush,2014,The LEGO Movie,6,159,0.037736
Galactic Peace Keeper,1989,Space Police I,2,53,0.037736
Garbage Truck,2015,Juniors,2,53,0.037736
Pirate Tank,2009,Star Wars Clone Wars,4,106,0.037736
Railroad Club Car,2001,Train,2,53,0.037736
Droid Developer Kit,1999,Star Wars,4,106,0.037736
Millennium Falcon,2000,Star Wars Episode 4/5/6,5,133,0.037594
Super Street Sensation,1999,Traffic,5,133,0.037594
Assault Tiger,2008,Exo-Force,3,80,0.037500
Bikini Bottom Undersea Party,2012,SpongeBob SquarePants,5,134,0.037313
Z-95 Headhunter,2013,Star Wars Clone Wars,5,134,0.037313
Poe’s X-Wing Fighter™,2015,Star Wars,6,161,0.037267
Rally Car,1987,Race,1,27,0.037037
HMV 2013 Production,2013,LEGO Brand Store,1,27,0.037037
Winter Toy Shop,2015,Christmas,7,189,0.037037
LEGO® DIMENSIONS™ Benny Fun Pack ,2015,Dimensions,1,27,0.037037
Speedway Transport,1999,Race,2,54,0.037037
Olivia's Creative Lab,2017,Friends,2,54,0.037037
The Ultimate Jewelry Collection,2004,Clikits,1,27,0.037037
Skateboard Challenge,2002,Island Xtreme Stunts,2,54,0.037037
Happy Holidays - The Christmas Game,2010,Game,1,27,0.037037
Big Bentley Bust Out,2011,Cars,7,189,0.037037
Toa Pohatu,2008,Phantoka,1,27,0.037037
Lava Falls,2015,Ninjago,2,54,0.037037
Lloyd Fun Pack,2016,Dimensions,1,27,0.037037
A-wing Fighter,2000,Star Wars Episode 4/5/6,2,54,0.037037
Post-Station,1985,Post Office,1,27,0.037037
Halloween Bucket,1998,Halloween,2,54,0.037037
Superman™ Fun Pack,2016,Dimensions,1,27,0.037037
Polly Pick-Up,1993,Basic Set,1,27,0.037037
Toa Mahri Jaller,2007,Toa Mahri,1,27,0.037037
ZX Turbo,2008,Tiny Turbos,1,27,0.037037
Police Chase,1998,Traffic,3,81,0.037037
Coruscant Police Gunship,2014,Star Wars,5,135,0.037037
Inika Toa Matoro,2006,Toa Inika,1,27,0.037037
Passenger Wagon,1978,4.5V,1,27,0.037037
Turbo Tiger,2000,Race,1,27,0.037037
Transport Truck,1967,Cargo,1,27,0.037037
Jokerland,2015,Batman,10,270,0.037037
Fire Station,1987,Fire,2,54,0.037037
Lavertus' Twin Blade,2014,Legends of Chima,3,81,0.037037
Droid Fighter,1999,Star Wars Episode 1,1,27,0.037037
Spider-Man: Spider-Cycle Chase,2013,Spider-Man,3,81,0.037037
Skateboard Street Park,2003,Gravity Games,1,27,0.037037
Basic Set with Storage Case,1983,Basic Set,1,27,0.037037
Build a Bullseye 3 in 1 Target Gift Card Promotional,2011,Christmas,1,27,0.037037
Mud Hopper,2008,Power Racers,1,27,0.037037
Trash Chomper,2014,The LEGO Movie,4,108,0.037037
Gurggle,2015,Series 6,1,27,0.037037
CHI Gorzan,2013,Constraction,1,27,0.037037
Mammoth’s Frozen Stronghold,2015,Legends of Chima,7,190,0.036842
Batman: Killer Croc Sewer Smash,2016,Batman,7,190,0.036842
Ultimate Build Mater,2011,Cars,3,82,0.036585
Batman: Defend the Batcave,2014,Juniors,3,82,0.036585
Red’s Water Rescue,2012,Cars,3,82,0.036585
Ultrasonic Showdown,2015,Ultra Agents,3,82,0.036585
Garage,1985,Traffic,2,55,0.036364
Farm Set,2010,Duplo,2,55,0.036364
Skull's Eye Schooner,1993,Pirates I,6,165,0.036364
Von Nebula,2010,Villains,2,55,0.036364
Chauchilla Cemetery Battle,2009,Kingdom of the Crystal Skull,3,83,0.036145
Motor Movers,2003,Inventor,3,83,0.036145
Olivia’s House,2012,Friends,6,166,0.036145
High-Speed City Express Passenger Train,1985,12V,4,111,0.036036
Tormak's Shadow Blazer,2015,Legends of Chima,5,139,0.035971
Battle on Scarif,2017,Star Wars Rogue One,5,139,0.035971
Bulk,2013,Heroes,1,28,0.035714
Protector of Earth,2015,Protectors,1,28,0.035714
Porsche 918 Spyder,2015,Speed Champions,2,56,0.035714
LEGO® DIMENSIONS™ Bad Cop Fun Pack,2015,Dimensions,1,28,0.035714
Gringott's Bank,2002,Sorcerer's Stone,3,84,0.035714
LEGO® DIMENSIONS™ Zane Fun Pack,2015,Dimensions,1,28,0.035714
Evo,2013,Heroes,1,28,0.035714
Stone Chopper,2009,Power Miners,1,28,0.035714
Busto,2016,Series 7,1,28,0.035714
LEGO Universe Rocket,2010,Universe,1,28,0.035714
International Space Station,2003,Discovery,2,56,0.035714
LEGO® DIMENSIONS™ Legolas Fun Pack,2015,Dimensions,1,28,0.035714
Emergency Repair Truck,1987,Traffic,1,28,0.035714
Aero Tube Hanger,2001,Life On Mars,5,140,0.035714
Inika Toa Hewkii,2006,Toa Inika,1,28,0.035714
Bane™ Fun Pack,2016,Dimensions,1,28,0.035714
Show Jumping Event,1997,Paradisa,1,28,0.035714
Ram Rod,2008,Power Racers,1,28,0.035714
Core Hunter,2012,Villains,1,28,0.035714
Refrigerated Car with Forklift,1976,4.5V,1,28,0.035714
AntiMatter’s Portal Hideout,2015,Ultra Agents,6,169,0.035503
Tower,2002,Island Xtreme Stunts,5,141,0.035461
Ogel Underwater Base and AT Sub,2002,Mission Deep Sea,4,113,0.035398
The Flying Flusher,2014,The LEGO Movie,4,113,0.035398
Mistlands Tower,2006,Knights Kingdom II,6,170,0.035294
Mars Exploration Rover,2003,Discovery,3,85,0.035294
Family Room,1979,Homemaker,2,57,0.035088
Turtle Lair Attack,2013,Teenage Mutant Ninja Turtles,6,171,0.035088
Clone Troopers vs. Droidekas,2013,Star Wars Episode 2,2,57,0.035088
Remote Controlled Road Crossing,1983,12V,2,57,0.035088
Manas,2001,Rahi,2,57,0.035088
Flying Phoenix Fire Temple,2014,Legends of Chima,9,257,0.035019
The Fortrex,2016,Nexo Knights,10,286,0.034965
Superman: Black Zero Escape,2013,Superman,3,86,0.034884
"Santa Fe Super Chief, Limited Edition",2002,9V,3,86,0.034884
Battle Arena,2011,Ninjago,5,144,0.034722
The SHIELD Helicarrier,2015,Avengers,11,317,0.034700
Robin,2017,Brickheadz,1,29,0.034483
One vs One Action,2003,Basketball,1,29,0.034483
Meltdown,2010,Villains,1,29,0.034483
Toa Gali,2008,Mistika,1,29,0.034483
Tiketz,2016,Series 7,1,29,0.034483
Loco and Tender,1969,4.5V,1,29,0.034483
Large Dinosaur Bucket,1994,Basic,1,29,0.034483
Outback Racer,1997,Outback,1,29,0.034483
Battle Towers,2014,Fusion,1,29,0.034483
Mini VW T1 Camper Van,2013,Creator,1,29,0.034483
Sensei Wu Fun Pack,2016,Dimensions,1,29,0.034483
Beach Bandit,1992,Recreation,1,29,0.034483
Quality Quidditch Supplies,2003,Chamber of Secrets,2,58,0.034483
U.S.S. Constellation,1978,Hobby Sets,2,58,0.034483
Lewa Uniter of Jungle,2016,Bionicle,1,29,0.034483
Frost Beast,2013,Villains,1,29,0.034483
Anna & Elsa's Frozen Playground,2017,Juniors,2,58,0.034483
Breez,2012,Heroes,1,29,0.034483
CHI Mungus,2014,Constraction,1,29,0.034483
Slammer Goalie,2003,Hockey,1,29,0.034483
Playful Puppy,2008,Playhouse,1,29,0.034483
Bonnie Bunny's New House,1987,Fabuland,1,29,0.034483
Porsche 911 GT Finish Line,2015,Speed Champions,5,146,0.034247
Barcode Multi-Set,1997,Traffic,5,146,0.034247
Flying Time Vessel,1996,Time Cruisers,4,117,0.034188
The Water Dragon Adventure,2016,Elves,3,88,0.034091
Cole's Power Drill,2013,Ninjago,3,88,0.034091
Knights’ Castle,2014,Juniors,3,88,0.034091
Wave Jump Racers,1996,Race,3,88,0.034091
LEGO Mindstorms NXT,2006,NXT,3,88,0.034091
Roadblock Runners,1997,Traffic,3,88,0.034091
Shredder’s Lair Rescue,2014,Teenage Mutant Ninja Turtles,5,147,0.034014
Heartlake Summer Pool,2017,Friends,5,147,0.034014
King Pig’s Castle,2016,Angry Birds,6,177,0.033898
Werewolf Ambush,2002,Studios,2,59,0.033898
Dumbledore's Office,2002,Chamber of Secrets,4,118,0.033898
Cad Bane's Speeder,2010,Star Wars Clone Wars,4,118,0.033898
Town Vehicles,1999,Town,4,118,0.033898
Sandcrawler,2005,Star Wars Episode 4/5/6,6,179,0.033520
CHI Cragger,2014,Constraction,1,30,0.033333
The Ghostbusters Level Pack,2016,Dimensions,2,60,0.033333
Fantasy Era Castle Chess Set,2007,Game,1,30,0.033333
Billund Airport,2014,LEGO Brand Store,1,30,0.033333
Blossom Fairy,2006,Fairy-Tale,1,30,0.033333
Gear Bulldozer Set,1974,Gears,1,30,0.033333
Fire Engine,1968,Fire,1,30,0.033333
Structures Set,1997,Technic,2,60,0.033333
Large Bucket for Her,1993,Basic,1,30,0.033333
Crawler Crane,2015,Technic,4,120,0.033333
Lincoln Memorial,2015,Architecture,1,30,0.033333
Crystal Scavenger,1997,Aquaraiders I,2,60,0.033333
Ghostbusters,2014,LEGO Ideas and CUUSOO,4,120,0.033333
Service Station,1984,Fabuland,1,30,0.033333
Iron Condor,2007,Exo-Force,2,60,0.033333
Surfer Rescue,2013,Coast Guard,1,30,0.033333
Creative Builder,2013,Educational and Dacta,1,30,0.033333
Cragger’s Command Ship,2013,Legends of Chima,5,151,0.033113
Eclipse Fighter,2016,Star Wars Other,4,121,0.033058
The Emergency Room,2008,SpongeBob SquarePants,3,91,0.032967
General Magmar's Siege Machine of Doom,2016,Nexo Knights,5,152,0.032895
River Dragon,2008,Exo-Force,2,61,0.032787
Motorcycle Shop,1984,Traffic,2,61,0.032787
Bi-Wing Blaster,1998,Insectoids,2,61,0.032787
Stunt Race Track,2002,Track System,2,61,0.032787
Big Rig Truck Stop,1987,Traffic,4,122,0.032787
Vermin Vaporizer,2013,Galaxy Squad,5,153,0.032680
Dojo Showdown,2015,Ninjago,3,92,0.032609
The Crazy Scientist & His Monster,2012,Monster Fighters,6,184,0.032609
Heroes of Justice: Sky High Battle,2016,Super Heroes,5,154,0.032468
Princess' Palace,2005,Duplo,1,31,0.032258
Furno,2012,Heroes,1,31,0.032258
Sorting Hat,2001,Sorcerer's Stone,1,31,0.032258
Toa Mahri Hewkii,2007,Toa Mahri,1,31,0.032258
Shell F1 Team,2012,Ferrari,1,31,0.032258
"Lego Duplo Creative Building Basket, Multi Color",2016,Duplo,1,31,0.032258
Delivery Center,1985,Cargo,3,93,0.032258
Jabba's Prize,2003,Star Wars Episode 4/5/6,1,31,0.032258
UNICEF Van,1985,Off-Road,1,31,0.032258
TUNNELER Beast vs. SURGE,2014,Hero Factory,1,31,0.032258
Battle Wagon,2005,Knights Kingdom II,2,62,0.032258
LaFerrari,2015,Speed Champions,2,62,0.032258
The Penguin Face Off,2014,Batman,2,62,0.032258
LEGO® DIMENSIONS™ Cyborg™ Fun Pack,2015,Dimensions,1,31,0.032258
Toa Tahu,2008,Mistika,1,31,0.032258
Advent Calendar 2016 Star Wars,2016,Star Wars,4,124,0.032258
Samurai Mech,2012,Ninjago,4,125,0.032000
Birds,2015,LEGO Ideas and CUUSOO,3,94,0.031915
Queen Dragon’s Rescue,2016,Elves,7,220,0.031818
Ultimate Builders Set,2001,RCX,2,63,0.031746
AT-TE,2013,Star Wars Episode 2,6,189,0.031746
Universal Building Set with Flex System,1992,Universal Building Set,2,63,0.031746
Kopaka and Melum - Unity set,2016,Bionicle,2,63,0.031746
Heartlake High,2013,Friends,4,126,0.031746
Road Work Truck,2015,Juniors,2,63,0.031746
Stephanie's House,2017,Friends,5,158,0.031646
Fire Engine / Fire Response Unit,1995,Fire,3,95,0.031579
Pony Farm,2014,Juniors,2,64,0.031250
Windmill and Lorry,1972,Building,1,32,0.031250
Complete Freight Train Set with Tipper Trucks,1969,4.5V,1,32,0.031250
LEGO® DIMENSIONS™ Nya Fun Pack,2015,Dimensions,1,32,0.031250
Airjitzu Morro Flyer,2015,Airjitzu,1,32,0.031250
Sea Plane,2004,Harbor,2,64,0.031250
Ikir Creature of Fire,2016,Bionicle,1,32,0.031250
Protector of Water,2015,Protectors,1,32,0.031250
Jamzy,2016,Series 7,1,32,0.031250
Jabba's Palace,2003,Star Wars Episode 4/5/6,3,96,0.031250
Terrace House with Car and Garage,1972,Building,1,32,0.031250
Protector of Jungle,2015,Protectors,1,32,0.031250
Space Spider,1998,Insectoids,1,32,0.031250
Protector of Fire,2015,Protectors,1,32,0.031250
Puppy Training,2015,Friends,1,32,0.031250
Uxar Creature of Jungle,2016,Bionicle,1,32,0.031250
Highway Repair,1980,Traffic,1,32,0.031250
"MBA Level Three - Kit 7, The Lost Village",2012,Master Building Academy,2,64,0.031250
House with Mini Wheel Car,1969,Building,1,32,0.031250
Universal Figure Set,1978,Building Set with People,1,32,0.031250
Highway Emergency Van,1982,Traffic,1,32,0.031250
Seaside Cabana,1992,Paradisa,1,32,0.031250
The Arrowhead,2017,Star Wars,6,193,0.031088
Batman & Superman vs. Lex Luthor,2016,Super Heroes,3,97,0.030928
Carbon-Freezing Chamber,2016,Star Wars Episode 4/5/6,3,97,0.030928
The Secret Market Place,2016,Elves,6,194,0.030928
Forestmen's Crossing,1990,Forestmen,2,65,0.030769
Audi R18 e-tron quattro,2016,Speed Champions,2,65,0.030769
Sirius Black's Escape,2004,Prisoner of Azkaban,2,65,0.030769
Aircraft and Ground Crew,2001,Airport,2,65,0.030769
Destroyer Droid™ / Star Wars Destroyer Droid,2000,Star Wars,2,65,0.030769
Gold City Junction,1996,Cowboys,4,130,0.030769
The Grand Tournament,2004,Knights Kingdom II,3,98,0.030612
Fight for the Golden Tower,2007,Exo-Force,4,131,0.030534
Clone Turbo Tank,2016,Star Wars Episode 3,6,197,0.030457
The Fabuland House,1982,Fabuland,1,33,0.030303
LEGO Pudsey Bear,2011,Other,1,33,0.030303
Scorpio,2011,Villains,1,33,0.030303
ATV Arrest,2017,Police,1,33,0.030303
Shell Fuel Tanker,1978,Station,1,33,0.030303
Cinderella’s Romantic Castle,2014,Disney Princess,5,165,0.030303
Rocket Base,1973,Space,1,33,0.030303
Rehearsal Stage,2013,Friends,2,66,0.030303
The Batcycle: Harley Quinn's Hammer Truck,2008,Batman,3,99,0.030303
Basic Building Set with Storage Case,1987,Basic,1,33,0.030303
Desert Skiff,2000,Star Wars Episode 4/5/6,1,33,0.030303
Speed Trackers,1996,Police,1,33,0.030303
The Good Fairy's House,2000,Fairy-Tale,1,33,0.030303
Burger Stand,1983,Food & Drink,1,33,0.030303
Draida Bay,2011,Game,1,33,0.030303
"Two-Face"" Double Demolition",2017,Batman,6,198,0.030303
Skrubz,2016,Series 8,1,33,0.030303
"Robotics Invention System, Version 2.0",2001,RCX,4,132,0.030303
Web Dash,2014,Legends of Chima,1,33,0.030303
Maxilos and Spinax,2007,Warriors,2,66,0.030303
Troll on the Loose,2002,Sorcerer's Stone,1,33,0.030303
Ewok Attack,2002,Star Wars Episode 4/5/6,2,66,0.030303
Unimog U400,2011,Model,5,166,0.030120
Lavatraz,2010,Power Miners,4,133,0.030075
Superman: Battle of Smallville,2013,Superman,4,133,0.030075
Control Center / Control II,1995,Universal Building Set,3,100,0.030000
Escape from Privet Drive,2002,Chamber of Secrets,3,100,0.030000
Octan Gas Station,1997,Gas Station,2,67,0.029851
Rogue Shadow,2008,Star Wars Other,4,134,0.029851
Research Institute,2014,LEGO Ideas and CUUSOO,2,67,0.029851
Ezra's Speeder Bike,2015,Star Wars Rebels,2,67,0.029851
Mask Maker vs. Skull Grinder,2015,Bionicle,2,67,0.029851
The Black Knight Mech,2016,Nexo Knights,5,168,0.029762
Drillex Diamond Job,2015,Ultra Agents,3,101,0.029703
NinjaCopter,2014,Ninjago,5,169,0.029586
Wuzzo,2015,Series 6,1,34,0.029412
Robo Attack,2009,Agents,4,136,0.029412
Nitroblast,2011,Villains,1,34,0.029412
LEGO® DIMENSIONS™ Fun Pack Emmet,2015,Dimensions,1,34,0.029412
Micro World - The End,2014,Minecraft,1,34,0.029412
Skulzy,2016,Series 8,1,34,0.029412
Batgirl,2017,Brickheadz,1,34,0.029412
Captain Kragg's Pirate Boat,2004,Pirates,1,34,0.029412
LOM Building B,2014,LEGO Brand Store,1,34,0.029412
Castle Fortaan,2011,Game,2,68,0.029412
Rhino and Sandman Supervillain Team-up,2015,Marvel,4,136,0.029412
Shell Tanker Wagon,1986,4.5V,1,34,0.029412
Protector of Ice,2015,Protectors,1,34,0.029412
Beast,2017,Brickheadz,1,34,0.029412
Attack on Weathertop,2012,The Fellowship of the Ring,3,103,0.029126
Ferrari F40,2015,Creator,5,172,0.029070
Racer X & Taejo Togokhan,2008,Speed Racer,2,69,0.028986
The Dynamic Duo Funhouse Escape,2012,Batman,4,138,0.028986
Maersk Line Container Truck,1985,Cargo,2,69,0.028986
Street 'n' Mud Racer,2002,Drome Racers,2,69,0.028986
Storm Lasher,2008,Exo-Force,2,69,0.028986
Passenger Plane - Aeroflot Version,2006,Airport,2,69,0.028986
Jabba's Sail Barge,2006,Star Wars Episode 4/5/6,5,173,0.028902
Imperial Flagship,1992,Pirates,3,104,0.028846
Jestro’s Volcano Lair,2016,Nexo Knights,9,312,0.028846
Black Manta Deep Sea Strike,2015,Justice League,4,139,0.028777
Red Ace,2008,Power Racers,1,35,0.028571
Ogel Mutant Killer Whale,2002,Mission Deep Sea,1,35,0.028571
Cobrax,2016,Series 9,1,35,0.028571
Separatist Spider Droid,2008,Star Wars Clone Wars,2,70,0.028571
Frozen Spikes,2014,Speedorz,1,35,0.028571
Nursery,1997,Hospital,1,35,0.028571
Puppy Playground,2017,Animals,1,35,0.028571
Head Tribune,1998,Soccer,1,35,0.028571
Doctor's Car,2006,Hospital,1,35,0.028571
Woody's Roundup!,2010,Toy Story,3,105,0.028571
Ketar Creature of Stone,2016,Bionicle,1,35,0.028571
Playdesk and Bricks,1998,Classic Basic,1,35,0.028571
Mini VW Beetle,2017,Creator,1,35,0.028571
Inferno Pit,2014,Speedorz,1,35,0.028571
Millennium Falcon - Mini,2003,Mini,1,35,0.028571
Camsta,2016,Series 9,1,35,0.028571
F1 Racer,1994,Race,1,35,0.028571
Exxon Fuel Tanker,1979,Station,1,35,0.028571
Rebel Chariot,2000,Knights Kingdom I,1,35,0.028571
Forbidden Corridor,2001,Sorcerer's Stone,2,70,0.028571
Temple Escape,2008,Raiders of the Lost Ark,4,141,0.028369
Hogwarts Express (3rd edition),2010,Harry Potter,4,142,0.028169
Push-Along Passenger Steam Train,1980,4.5V,2,71,0.028169
Supermarket Suitcase,2015,Juniors,2,71,0.028169
Jay's Electromech,2015,Ninjago,2,71,0.028169
Emperor Palpatine’s Shuttle,2010,Star Wars Episode 3,4,142,0.028169
Super Hero Airport Battle,2016,Super Heroes,7,249,0.028112
The Hydra Fortress Smash,2015,Avengers,4,143,0.027972
Cargo Center,1984,Cargo,3,108,0.027778
Army Men on Patrol,2010,Toy Story,1,36,0.027778
Big Farm,2005,Duplo,1,36,0.027778
The Leaning Tower of Pisa,2013,Architecture,1,36,0.027778
Bulk,2012,Heroes,1,36,0.027778
Emma’s Fashion Design Studio,2012,Friends,1,36,0.027778
Misfortune’s Keep,2016,Ninjago,7,252,0.027778
Copter Transport,2001,Traffic,1,36,0.027778
Deluxe Box of Fun,2014,Duplo,1,36,0.027778
Imperial Shuttle - Mini,2004,Mini,1,36,0.027778
Aaron's Stone Destroyer,2017,Nexo Knights,3,108,0.027778
Ocean Speeder,2011,Atlantis,1,36,0.027778
Freestyle Bucket,1997,Freestyle,1,36,0.027778
Droid Tri-Fighter,2005,Star Wars Episode 3,1,36,0.027778
Geoffrey & Friends,2016,Promotional,1,36,0.027778
Farnsworth House,2011,Architecture,1,36,0.027778
Battle on Takodana,2016,Star Wars Episode 7,3,109,0.027523
Deep Sea Raider,2011,Atlantis,3,109,0.027523
Story Mixer,2013,Game,3,109,0.027523
Mission 8: Volcano Base,2008,Agents,5,182,0.027473
The Phantom,2014,Star Wars Rebels,2,73,0.027397
McLaren 720S,2017,Speed Champions,2,73,0.027397
The London Escape,2011,Pirates of the Caribbean,4,146,0.027397
Pig City Teardown,2016,Angry Birds,4,146,0.027397
Fire Emergency,2014,Juniors,2,73,0.027397
London,2017,Skylines,2,73,0.027397
The Batwing,2017,Batman,6,221,0.027149
Deluxe Motorized Train Set,1968,4.5V,1,37,0.027027
Basic Set,1973,Basic Set,1,37,0.027027
Circuit Shock Racer / V-Twin Super Bike,1995,Riding Cycle,2,74,0.027027
Monster Jumper,2009,Power Racers,1,37,0.027027
Sungnyemun,2012,Architecture,1,37,0.027027
Batboat Harbor Pursuit,2015,Batman,3,111,0.027027
Axl’s Tower Carrier,2016,Nexo Knights,6,222,0.027027
TECHNIC Control II,1986,Technic,2,74,0.027027
Vultraz,2008,Warriors,1,37,0.027027
Flatiron Building,2015,Architecture,1,37,0.027027
Chopper Cops,1993,Police,1,37,0.027027
Garden Playmates,1995,Playhouse,1,37,0.027027
AT-ST & Snowspeeder - Mini,2003,Mini,1,37,0.027027
Stormer XL,2012,Heroes,1,37,0.027027
Vulture Droid,2015,Mini,1,37,0.027027
"Sea Creeper (with Stingray Baseplate, Raised)",1998,Stingrays,1,37,0.027027
Covered Wagon,1996,Cowboys,1,37,0.027027
Battle of Alamut,2010,Prince of Persia,4,149,0.026846
Tanker Truck Takedown,2016,Marvel,3,112,0.026786
TECHNIC Control Center,1990,Universal Building Set,2,75,0.026667
Fangpyre Truck Ambush,2012,Ninjago,4,150,0.026667
Naboo Fighter,1999,Star Wars Episode 1,2,75,0.026667
International Jetport,1990,Airport,4,150,0.026667
UFO Abduction,2011,Alien Conquest,2,75,0.026667
Puppy Championship,2017,Friends,2,75,0.026667
